timestamp,weight
04_05_2022_20_30_30,565.06,
04_05_2022_20_30_32,565.05,
04_05_2022_20_30_33,565.06,
04_05_2022_20_30_34,565.06,
04_05_2022_20_30_36,565.04,
04_05_2022_20_30_37,565.06,
04_05_2022_20_30_38,565.07,
04_05_2022_20_30_40,565.07,
04_05_2022_20_30_41,565.08,
04_05_2022_20_30_42,565.08,
04_05_2022_20_30_44,565.08,
04_05_2022_20_30_45,565.06,
04_05_2022_20_30_46,565.04,
04_05_2022_20_30_47,565.06,
04_05_2022_20_30_49,565.08,
04_05_2022_20_30_50,565.09,
04_05_2022_20_30_51,565.11,
04_05_2022_20_30_53,565.04,
04_05_2022_20_30_54,565.07,
04_05_2022_20_30_55,565.05,
04_05_2022_20_30_57,565.08,
04_05_2022_20_30_58,565.03,
04_05_2022_20_30_59,565.06,
04_05_2022_20_31_01,565.08,
04_05_2022_20_31_02,565.06,
04_05_2022_20_31_03,565.08,
04_05_2022_20_31_04,565.05,
04_05_2022_20_31_06,565.07,
04_05_2022_20_31_07,565.06,
04_05_2022_20_31_08,565.10,
04_05_2022_20_31_10,565.05,
04_05_2022_20_31_11,565.07,
04_05_2022_20_31_12,565.06,
04_05_2022_20_31_13,565.07,
04_05_2022_20_31_15,565.07,
04_05_2022_20_31_16,565.09,
04_05_2022_20_31_17,565.06,
04_05_2022_20_31_19,565.06,
04_05_2022_20_31_20,565.05,
04_05_2022_20_31_21,565.06,
04_05_2022_20_31_23,565.06,
04_05_2022_20_31_24,565.09,
04_05_2022_20_31_25,565.06,
04_05_2022_20_31_26,565.06,
04_05_2022_20_31_28,565.06,
04_05_2022_20_31_29,565.08,
04_05_2022_20_31_30,565.05,
04_05_2022_20_31_32,565.06,
04_05_2022_20_31_33,565.07,
04_05_2022_20_31_34,565.05,
04_05_2022_20_31_35,565.10,
04_05_2022_20_31_37,565.10,
04_05_2022_20_31_38,565.08,
04_05_2022_20_31_39,565.04,
04_05_2022_20_31_41,565.05,
04_05_2022_20_31_42,565.05,
04_05_2022_20_31_43,565.06,
04_05_2022_20_31_45,565.10,
04_05_2022_20_31_46,565.06,
04_05_2022_20_31_47,565.06,
04_05_2022_20_31_49,565.09,
04_05_2022_20_31_50,565.06,
04_05_2022_20_31_51,565.07,
04_05_2022_20_31_52,565.06,
04_05_2022_20_31_54,565.07,
04_05_2022_20_31_55,565.06,
04_05_2022_20_31_56,565.08,
04_05_2022_20_31_58,565.06,
04_05_2022_20_31_59,565.08,
04_05_2022_20_32_00,565.06,
04_05_2022_20_32_01,565.07,
04_05_2022_20_32_03,565.05,
04_05_2022_20_32_04,565.06,
04_05_2022_20_32_05,565.08,
04_05_2022_20_32_07,565.07,
04_05_2022_20_32_08,565.06,
04_05_2022_20_32_09,565.05,
04_05_2022_20_32_11,565.05,
04_05_2022_20_32_12,565.05,
04_05_2022_20_32_13,565.08,
